canonical_smiles,pchembl_value,assay_description,standard_type,standard_value,standard_units,standard_relation,assay_chembl_id,assay_type,molecule_chembl_id,target_organism,target_chembl_id,document_chembl_id
CC(C)=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,6.86,Inhibition of C-terminal His-tagged N-terminal GST-tagged human EGFR (668 to 1210 residues) expressed in baculovirus infected Sf9 cells after 30 mins in presence of gamma-[32p-ATP] binding assay,IC50,139.2,nM,=,CHEMBL4410222,B,CHEMBL9470,Homo sapiens,CHEMBL203,CHEMBL4406881
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,5.53,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",IC50,2947.0,nM,=,CHEMBL1909203,B,CHEMBL479,Homo sapiens,CHEMBL203,CHEMBL1909046
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,4.54,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",IC50,28868.0,nM,=,CHEMBL1909203,B,CHEMBL71,Homo sapiens,CHEMBL203,CHEMBL1909046
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,5.45,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",IC50,3553.0,nM,=,CHEMBL1909203,B,CHEMBL83,Homo sapiens,CHEMBL203,CHEMBL1909046
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,6.13,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",IC50,748.6,nM,=,CHEMBL1909203,B,CHEMBL496,Homo sapiens,CHEMBL203,CHEMBL1909046
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,4.53,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",IC50,29256.0,nM,=,CHEMBL1909203,B,CHEMBL91,Homo sapiens,CHEMBL203,CHEMBL1909046
Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1NC(=O)c1cc(I)cc(I)c1O,6.25,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",IC50,564.0,nM,=,CHEMBL1909203,B,CHEMBL12131,Homo sapiens,CHEMBL203,CHEMBL1909046
O=C(CCCCCCC(=O)Nc1ccccc1)NO,7.92,Inhibition of EGFR (unknown origin),IC50,12.0,nM,=,CHEMBL5215094,B,CHEMBL98,Homo sapiens,CHEMBL203,CHEMBL5214883
Cc1ccc2c(-c3ccccc3)nc(=O)n(C(C)C)c2c1,8.70,Inhibition of EGFR (unknown origin),IC50,2.0,nM,=,CHEMBL5215227,B,CHEMBL268501,Homo sapiens,CHEMBL203,CHEMBL5214889
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(Cl)cc32)c1C,5.52,Inhibition of EGFR,IC50,3000.0,nM,=,CHEMBL996040,B,CHEMBL13485,Homo sapiens,CHEMBL203,CHEMBL1156432
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(Br)cc32)c1C,5.00,Inhibition of epidermal growth factor receptor (EGF-R),IC50,10000.0,nM,=,CHEMBL677212,B,CHEMBL13629,Homo sapiens,CHEMBL203,CHEMBL1136732
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,7.50,"Inhibition of EGFR (unknown origin) using Poly (Glu, Tyr) 4:1 as substrate preincubated with substrate followed by enzyme challenge for 1 hr by ELISA",IC50,31.8,nM,=,CHEMBL4398934,B,CHEMBL535,Homo sapiens,CHEMBL203,CHEMBL4396905
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,4.16,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",IC50,69421.0,nM,=,CHEMBL1909203,B,CHEMBL104,Homo sapiens,CHEMBL203,CHEMBL1909046
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1S,6.00,Rate constant for inactivation of erbB-1 receptor of A431 human epidermoid carcinoma cells,Kd,1000.0,nM,=,CHEMBL673785,B,CHEMBL14326,Homo sapiens,CHEMBL203,CHEMBL1130008
CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,6.28,Binding constant for EGFR(G719C) kinase domain,Kd,520.0,nM,=,CHEMBL1908695,B,CHEMBL428690,Homo sapiens,CHEMBL203,CHEMBL1908390
O=C(NCCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1)C(F)(F)F,7.13,Inhibitory activity against epidermal growth factor receptor,IC50,74.0,nM,=,CHEMBL674106,B,CHEMBL14627,Homo sapiens,CHEMBL203,CHEMBL1146682
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN1CCOCC1,8.00,In vitro inhibitory activity against Epidermal growth factor receptor (EGFR-TK) from A431 vulval squamous carcinoma cells using TKI assay,IC50,10.0,nM,=,CHEMBL677210,B,CHEMBL14699,Homo sapiens,CHEMBL203,CHEMBL1134804
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,9.70,Inhibition of wild type EGFR by HTRF assay,IC50,0.2,nM,=,CHEMBL1105216,B,CHEMBL553,Homo sapiens,CHEMBL203,CHEMBL1156950
CS(=O)(=O)CCNCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,6.98,Inhibitory activity against epidermal growth factor receptor,IC50,104.0,nM,=,CHEMBL674106,B,CHEMBL14952,Homo sapiens,CHEMBL203,CHEMBL1146682
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,9.70,Inhibition of human N-terminal GST-tagged EGFR L858R mutant (669 to 1210 residues) expressed in baculovirus infected Sf9 insect cells using TK as substrate preincubated for 30 mins followed by substrate addition and measured after 15 mins by HTRF assay,IC50,0.2,nM,=,CHEMBL4670930,B,CHEMBL554,Homo sapiens,CHEMBL203,CHEMBL4665812
CN(CCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1)CCS(C)(=O)=O,6.08,Inhibitory activity against epidermal growth factor receptor,IC50,830.0,nM,=,CHEMBL674106,B,CHEMBL14874,Homo sapiens,CHEMBL203,CHEMBL1146682
C=CCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,7.10,Inhibitory activity against epidermal growth factor receptor,IC50,79.0,nM,=,CHEMBL674106,B,CHEMBL540701,Homo sapiens,CHEMBL203,CHEMBL1146682
Oc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,7.01,Inhibitory activity against epidermal growth factor receptor,IC50,98.0,nM,=,CHEMBL674106,B,CHEMBL14932,Homo sapiens,CHEMBL203,CHEMBL1146682
COc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,7.17,Inhibitory activity against epidermal growth factor receptor,IC50,68.0,nM,=,CHEMBL674106,B,CHEMBL15202,Homo sapiens,CHEMBL203,CHEMBL1146682
CS(=O)(=O)CCN(CCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1)C(=O)C(F)(F)F,6.63,Inhibition of human recombinant EGFR,IC50,234.42,nM,=,CHEMBL944276,B,CHEMBL273789,Homo sapiens,CHEMBL203,CHEMBL1140899
CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,7.13,Inhibitory activity against epidermal growth factor receptor,IC50,74.0,nM,=,CHEMBL674106,B,CHEMBL15346,Homo sapiens,CHEMBL203,CHEMBL1146682
Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,4.25,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",IC50,55629.0,nM,=,CHEMBL1909203,B,CHEMBL584,Homo sapiens,CHEMBL203,CHEMBL1909046
Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,6.68,Binding constant for EGFR(E746-A750del) kinase domain,Kd,210.0,nM,=,CHEMBL1061143,B,CHEMBL278041,Homo sapiens,CHEMBL203,CHEMBL1150977
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,5.45,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",IC50,3566.0,nM,=,CHEMBL1909203,B,CHEMBL17157,Homo sapiens,CHEMBL203,CHEMBL1909046
COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,5.24,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",IC50,5751.0,nM,=,CHEMBL1909203,B,CHEMBL603,Homo sapiens,CHEMBL203,CHEMBL1909046
CSc1ccc(/C=C2/C(C)=C(CC(=O)O)c3cc(F)ccc32)cc1,4.62,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",IC50,23981.0,nM,=,CHEMBL1909203,B,CHEMBL18797,Homo sapiens,CHEMBL203,CHEMBL1909046
O=C1NC(=O)c2c1c1c3cccc(O)c3[nH]c1c1[nH]c3c(O)cccc3c21,4.54,In vitro activity against Epidermal growth factor receptor (using poly(Glu4Tyr1) as a substrate),IC50,29000.0,nM,=,CHEMBL675381,B,CHEMBL279481,Homo sapiens,CHEMBL203,CHEMBL1131686
CNN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O,4.00,In vitro activity against Epidermal growth factor receptor (using poly(Glu4Tyr1) as a substrate),IC50,100000.0,nM,=,CHEMBL675381,B,CHEMBL277667,Homo sapiens,CHEMBL203,CHEMBL1131686
O=C(Nc1ccccc1)NN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O,4.02,In vitro activity against Epidermal growth factor receptor (using poly(Glu4Tyr1) as a substrate),IC50,95000.0,nM,=,CHEMBL675381,B,CHEMBL19978,Homo sapiens,CHEMBL203,CHEMBL1131686
Cc1ccc(N(C)C(=O)c2ccccc2)cc1Nc1nccc(-c2cccnc2)n1,4.31,Inhibition of tyrosine kinase Epidermal growth factor receptor,IC50,49000.0,nM,=,CHEMBL676151,B,CHEMBL278287,Homo sapiens,CHEMBL203,CHEMBL1159186
O=C1NC(=O)c2c1c1c3cccc(O)c3[nH]c1c1c2c2cccc(O)c2n1C1OC(CO)C(O)C(O)C1O,4.05,In vitro activity against Epidermal growth factor receptor (using poly(Glu4Tyr1) as a substrate),IC50,90000.0,nM,=,CHEMBL675381,B,CHEMBL21108,Homo sapiens,CHEMBL203,CHEMBL1131686
CCCNN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O,4.23,In vitro activity against Epidermal growth factor receptor (using poly(Glu4Tyr1) as a substrate),IC50,59000.0,nM,=,CHEMBL675381,B,CHEMBL21096,Homo sapiens,CHEMBL203,CHEMBL1131686
O=C(O)c1ccc(NN2C(=O)c3c(c4c5cccc(O)c5n(C5OC(CO)C(O)C(O)C5O)c4c4[nH]c5c(O)cccc5c34)C2=O)cc1,4.05,In vitro activity against Epidermal growth factor receptor (using poly(Glu4Tyr1) as a substrate),IC50,90000.0,nM,=,CHEMBL675381,B,CHEMBL279035,Homo sapiens,CHEMBL203,CHEMBL1131686
Cc1ccc(N(C(=O)c2ccccc2)C(=O)c2ccccc2)cc1Nc1nccc(-c2cccnc2)n1,4.12,Inhibition of tyrosine kinase Epidermal growth factor receptor,IC50,75000.0,nM,=,CHEMBL676151,B,CHEMBL277430,Homo sapiens,CHEMBL203,CHEMBL1159186
Cc1ccc(NC(=O)c2ccccc2)cc1Nc1nccc(-c2cccnc2)n1,4.19,Inhibition of the epidermal growth factor receptor.,IC50,65000.0,nM,=,CHEMBL675386,B,CHEMBL20926,Homo sapiens,CHEMBL203,CHEMBL1130562
O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O,5.53,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",IC50,2987.0,nM,=,CHEMBL1909203,B,CHEMBL24944,Homo sapiens,CHEMBL203,CHEMBL1909046
CN1CCC(O)(c2nc(-c3ccc(F)cc3)c(-c3ccncc3)o2)CC1,6.10,Inhibition of EGFR kinase,IC50,797.0,nM,=,CHEMBL674025,B,CHEMBL22978,Homo sapiens,CHEMBL203,CHEMBL1132910
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,5.06,"Time-Resolved Fluorescence Assay: The kinase activity of EGFR was detected according to time-resolved fluorescence detection technology to evaluate automatic phosphorylation levels. The test compound was dissolved in 100% DMSO, diluted with 25 mM HEPES (pH=7.4) to the desired concentration, added into each well with 10 μL of the test compounds and 10 μL solution containing 5 ng EGFR, then cultured for 10 min at room temperature using the recombinase diluted by 100 mM HEPES with a dilution ratio of 1:80, subsequently added with 10 μL solution containing 20 mM HEPES, 2 mM MnCl2, 100 μM Na3VO4, 1 mM DTT buffer, and 20 μL of 0.1 mM ATP and 50 mM MgCl2 and cultured for 1 h. The positive group in each plate was added with ATP-MgCl2 enzyme, the negative control group without adding with ATP-MgCl2 enzyme, the liquid was sucked out completely after cultured for 1 h, and each well was washed with buffer for three times. The wells were added with 75 μL anti-phosphorylated tyrosine antibody containing 400 ng europium labeling and cultured 1 h, washed, then added with enhancing solution. At the excitation wavelength 340 nm and the emission wavelength 615 nm, the fluorescence intensities were detected by using Victor type 2 time-resolved luminoscope, wherein the inhibitory rate of the compound on automatic phosphorylation: the inhibitory rate of autophosphorylation=100%−[(negative control)/(positive control−negative control)].",IC50,8650.0,nM,=,CHEMBL3888815,B,CHEMBL140,Homo sapiens,CHEMBL203,CHEMBL3886845
COc1cc2c(Nc3ccc(C)cc3F)ncnc2cc1OCC1CCNCC1,6.30,Inhibition of epidermal growth factor receptor kinase activity at a concentration of 2 uM of ATP,IC50,500.0,nM,=,CHEMBL677388,B,CHEMBL428534,Homo sapiens,CHEMBL203,CHEMBL1135889
COc1cc2c(Nc3c(F)cc(Cl)cc3F)ncnc2cc1OCC1CCNCC1,6.30,Inhibition of epidermal growth factor receptor kinase activity at a concentration of 2 uM of ATP,IC50,500.0,nM,=,CHEMBL677388,B,CHEMBL25450,Homo sapiens,CHEMBL203,CHEMBL1135889
COc1cc2c(Nc3c(F)cc(Cl)cc3F)ncnc2cc1OCC1CCN(C)CC1,6.35,Inhibition of epidermal growth factor receptor kinase activity at a concentration of 2 uM of ATP,IC50,450.0,nM,=,CHEMBL677388,B,CHEMBL422758,Homo sapiens,CHEMBL203,CHEMBL1135889
COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCCN1CCOCC1,7.00,Inhibition of epidermal growth factor receptor kinase activity at a concentration of 2 uM of ATP,IC50,100.0,nM,=,CHEMBL677388,B,CHEMBL24137,Homo sapiens,CHEMBL203,CHEMBL1135889
COCCOc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OC,7.00,Inhibition of epidermal growth factor receptor kinase activity at a concentration of 2 uM of ATP,IC50,100.0,nM,=,CHEMBL677388,B,CHEMBL286160,Homo sapiens,CHEMBL203,CHEMBL1135889
COc1cc2c(Nc3ccc(C)cc3F)ncnc2cc1OCC1CCN(C)CC1,6.00,Inhibition of epidermal growth factor receptor kinase activity at a concentration of 2 uM of ATP,IC50,1000.0,nM,=,CHEMBL677388,B,CHEMBL281990,Homo sapiens,CHEMBL203,CHEMBL1135889
COc1cc2c(Nc3c(F)cc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,6.52,Inhibition of epidermal growth factor receptor kinase activity at a concentration of 2 uM of ATP,IC50,300.0,nM,=,CHEMBL677388,B,CHEMBL416191,Homo sapiens,CHEMBL203,CHEMBL1135889
COc1cc2c(Nc3ccc(C#N)cc3F)ncnc2cc1OC/C=C/CN1CCCC1,6.10,Inhibition of epidermal growth factor receptor kinase activity at a concentration of 2 uM of ATP,IC50,800.0,nM,=,CHEMBL677388,B,CHEMBL24026,Homo sapiens,CHEMBL203,CHEMBL1135889
COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCC1CCN(C)CC1,6.52,Inhibition of epidermal growth factor receptor kinase activity at a concentration of 2 uM of ATP,IC50,300.0,nM,=,CHEMBL677388,B,CHEMBL25425,Homo sapiens,CHEMBL203,CHEMBL1135889
COc1cc2c(Nc3c(F)cc(Br)cc3F)ncnc2cc1OCC1CCNCC1,6.35,Inhibition of epidermal growth factor receptor kinase activity at a concentration of 2 uM of ATP,IC50,450.0,nM,=,CHEMBL677388,B,CHEMBL279459,Homo sapiens,CHEMBL203,CHEMBL1135889
COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,9.30,Inhibition of EGFR (unknown origin),IC50,0.5,nM,=,CHEMBL5151930,B,CHEMBL24828,Homo sapiens,CHEMBL203,CHEMBL5150004
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCn1ccnn1,6.40,Inhibition of epidermal growth factor receptor kinase activity at a concentration of 2 uM of ATP,IC50,400.0,nM,=,CHEMBL677388,B,CHEMBL281872,Homo sapiens,CHEMBL203,CHEMBL1135889
COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN1CCOCC1,6.40,Inhibition of epidermal growth factor receptor kinase activity at a concentration of 2 uM of ATP,IC50,400.0,nM,=,CHEMBL677388,B,CHEMBL25610,Homo sapiens,CHEMBL203,CHEMBL1135889
COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN1CCN(C)CC1,6.70,Inhibition of epidermal growth factor receptor kinase activity at a concentration of 2 uM of ATP,IC50,200.0,nM,=,CHEMBL677388,B,CHEMBL283088,Homo sapiens,CHEMBL203,CHEMBL1135889
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCC1CCN(C)CC1,6.70,Inhibition of epidermal growth factor receptor kinase activity at a concentration of 2 uM of ATP,IC50,200.0,nM,=,CHEMBL677388,B,CHEMBL24979,Homo sapiens,CHEMBL203,CHEMBL1135889
COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN(C)c1ccncc1,6.52,Inhibition of epidermal growth factor receptor kinase activity at a concentration of 2 uM of ATP,IC50,300.0,nM,=,CHEMBL677388,B,CHEMBL25579,Homo sapiens,CHEMBL203,CHEMBL1135889
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCC1CCNCC1,6.70,Inhibition of epidermal growth factor receptor kinase activity at a concentration of 2 uM of ATP,IC50,200.0,nM,=,CHEMBL677388,B,CHEMBL26641,Homo sapiens,CHEMBL203,CHEMBL1135889
Oc1ccccc1O,4.58,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",IC50,26043.0,nM,=,CHEMBL1909203,B,CHEMBL280998,Homo sapiens,CHEMBL203,CHEMBL1909046
CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@@H](O)C1,5.34,Inhibition of Epidermal growth factor receptor,IC50,4600.0,nM,=,CHEMBL674692,B,CHEMBL418203,Homo sapiens,CHEMBL203,CHEMBL1135924
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,4.40,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",IC50,40107.0,nM,=,CHEMBL1909203,B,CHEMBL726,Homo sapiens,CHEMBL203,CHEMBL1909046
Cc1nc(O)c2c(ccc3[nH]c(Nc4c(Cl)cccc4Cl)nc32)c1C,4.00,Inhibition of Epidermal growth factor receptor,IC50,100000.0,nM,=,CHEMBL677529,B,CHEMBL27085,Homo sapiens,CHEMBL203,CHEMBL1135526
COc1cc2ncnc(Nc3cccc(SC)c3)c2cc1OC,6.90,Inhibition of EGFR (unknown origin) using biotinylated-PTP1B (Tyr66) as substrate incubated for 5 mins prior to substrate addition measured after 1 hr by ELISA,IC50,126.7,nM,=,CHEMBL2341281,B,CHEMBL29641,Homo sapiens,CHEMBL203,CHEMBL2331141
